,,Stock Level,,,,,,,,
 ,,,,,,,,,,
,,,,,,,,,,2023 09:24:14
Barcode,Stock Code,Description,Supplier,,Location,,On Order,Reserved,On Hand,
A,,CIGARETTES & CIGARS,,,,,,,,
,,SLIM,,,,,,,,
,,,,,,,,,,
50973606,67469,RIZLA BLUE REGULAR PAPER,PLAYER,,,,0,0,128.00,
4030700124030,6108552,RIZLA EXTRA SLIMLINE FILTER,TOBACC,,,,0,0,50.00,
,,TIPS,,,,,,,,
,,,,,,,,,,
50973613,67470,RIZLA GREEN REGULAR PAPER,PLAYER,,,,0,0,111.00,
54034495,A03,RIZLA KINGSIZE RED (32,PLAYER,,,,0,0,215.00,
,,LEAVES),,,,,,,,
5010891011868,723,RIZLA KINGSIZE SILVER SLIMS,PLAYER,,,,0,0,164.00,
,,(32 LEA,,,,,,,,
,,,,,,,,,,
50973620,67471,RIZLA RED REGULAR PAPER,PLAYER,,,,0,0,246.00,
,,,,,,,,,,
96167557,6100025,ROTHMANS KS ORIGINAL,CARROL,,,,0,0,251.00,
,,,,,,,,,,
53992956,6100068,SILK CUT BLUE 20 S PP,GALLA,,,,0,0,399.00,
53992932,,SILK CUT CHOICE DOUBLE,GALLA,,,,0,0,713.00,
,,CAPSULE PP,,,,,,,,
,,,,,,,,,,
53992383,6100214,SILK CUT CHOICE GREEN 20S,GALLA,,,,0,0,398.00,
,,,,,,,,,,
53992994,6100074,SILK CUT PURPLE 20 S PP,GALLA,,,,0,0,301.00,
,,,,,,,,,,
53992949,6100078,SILK CUT SILVER 20 S PP,GALLA,,,,0,0,961.00,
,,,,,,,,,,
50432219,67128,SUPERKINGS BLACK,PLAYER,,,,0,0,"4,210.00",
,,,,,,,,,,
4030600282953,,SUPERKINGS BLACK 20S,PLAYER,,,,0,0,298.00,
,,,,,,,,,,
4030600282984,,SUPERKINGS BLUE,PLAYER,,,,0,0,460.00,
,,,,,,,,,,
50432226,67118,SUPERKINGS BLUE,PLAYER,,,,0,0,961.00,
,,,,,,,0,0,"27,618.00",
B,,Snacks,,,,,,,,
5000328462622,56358,DORITOS CHILLI HEATWAVE,BARRYS,,,,0,0,32.00,
,,150G,,,,,,,,
,,,,,,,,,,
5000328175973,56353,DORITOS COOL ORIGINAL 150G,BARRYS,,,,0,0,16.00,
,,,,,,,,,,
5000328681443,56359,DORITOS TANGY CHEESE 150G,BARRYS,,,,0,0,14.00,
5099274000156,65004,MANHATTAN DRY ROASTED,MANHAT,,,,0,0,24.00,
,,PEANUTS 200G,,,,,,,,
5099274000149,65002,MANHATTAN SALTED PEANUTS,MANHAT,,,,0,0,16.00,
,,200G,,,,,,,,
5099274000033,60320,MANHATTAN SALTED PEANUTS,MANHAT,,,,0,0,9.00,
,,50G,,,,,,,,
,,,,,,,,,,
5053990161966,1400409,PRINGLES BBQ 165G,BARRYS,,,,0,0,51.00,
5053990127641,1400410,PRINGLES CHEESE & ONION,BARRYS,,,,0,0,37.00,
,,165G,,,,,,,,
,,,,,,,,,,
5053990161669,1400411,PRINGLES HOT PAPRIKA 165G,BARRYS,,,,0,0,1.00,
,,,,,,,,,,
5053990127726,1400412,PRINGLES ORIGINAL 165G,BARRYS,,,,0,0,1.00,
5053990158034,1400413,PRINGLES PRAWN COCKTAIL,BARRYS,,,,0,0,28.00,
,,165G,,,,,,,,
5053990127733,1400414,PRINGLES SALT & VINEGAR,BARRYS,,,,0,0,70.00,
,,165G,,,,,,,,
Created using Rs-BackOffice v123.3.2 - www.RetailSolutions.ie,,,,,,,,,Page : 2 / ,21
TILL 01 JOHNS-20/12/2023 00:34:16,,,,,,,,,,
Barcode,Stock Code,Description,Supplier,,Location,,On Order,Reserved,On Hand,
5053990127740,1400415,PRINGLES SOUR CREAM &,BARRYS,,,,0,0,3.00,
,,ONION 165G,,,,,,,,
,,,,,,,,,,
5000328268231,1401475,SMITHS SCAMPI FRIES 27G,BARRYS,,,,0,0,18.00,
,,,,,,,,,,
5011096011059,1400801,TAYTO CHEESE & ONION 37G,BARRYS,,,,0,0,1.00,
,,,,,,,,,,
5011096010342,1400597,TAYTO CHEESE & ONION 42G,BARRYS,,,,0,0,1.00,
5011096009827,85387,TAYTO HUNKY DORYS BUFFALO,LARGO,,,,0,0,11.00,
,,135G,,,,,,,,
5011096009803,85385,TAYTO HUNKY DORYS,LARGO,,,,0,0,9.00,
,,CHEESE&ONION 135G,,,,,,,,
5011096009834,85388,TAYTO HUNKY DORYS SOUR,LARGO,,,,0,0,13.00,
,,CR&ONION135G,,,,,,,,
,,,,,,,,,,
5011096011455,,TAYTO SNAX SHARING BAG 90G,LARGO,,,,0,0,25.00,
5000328202464,270035,WALKERS GIANT WOTSITS,BARRYS,,,,0,0,6.00,
,,FLAMIN HT130G,,,,,,,,
5000328192871,56315,WALKERS SENSATIONS THAI,BARRYS,,,,0,0,34.00,
,,SWE CH 150G,,,,,,,,
5000328328812,1401257,WALKERS WOTSITS CRUNCHY,BARRYS,,,,0,0,2.00,
,,FLAMING140G,,,,,,,,
,,,,,,,0,0,422.00,
C,,CONFECTIONERY,,,,,,,,
,,,,,,,,,,
5034660004004,64123,CADBURY DAIRYMILK 53G,BARRYS,,,,0,0,55.00,
5034660003892,64119,CADBURY DAIRYMILK,BARRYS,,,,0,0,12.00,
,,CARAMELLO 47G,,,,,,,,
5034660003953,64117,CADBURY DAIRYMILK,BARRYS,,,,0,0,8.00,
,,GOLDENCRISP 54G,,,,,,,,
5034660004042,64116,CADBURY DAIRYMILK MINT,BARRYS,,,,0,0,5.00,
,,CRISP 54G,,,,,,,,
5034660003939,64120,CADBURY DAIRYMILK TURKISH,BARRYS,,,,0,0,4.00,
,,47G,,,,,,,,
5034660003960,64112,CADBURY DAIRYMILK,BARRYS,,,,0,0,8.00,
,,WHOLENUT 55G,,,,,,,,
,,,,,,,,,,
7622210989192,260499,CADBURY FLAKE 4 PACK 80G,BARRYS,,,,0,0,21.00,
,,,,,,,,,,
7622210989253,166477,CADBURY PICNIC 4 PACK 152G,BARRYS,,,,0,0,1.00,
,,,,,,,,,,
7622210989246,260502,CADBURY TWIRL 5 PACK 107.5G,BARRYS,,,,0,0,6.00,
,,,,,,,,,,
8410525222818,64060,FINI LITTLE MIX 150G PM E1.00,BARRYS,,,,0,0,85.00,
,,,,,,,,,,
80052760,70410,KINDER BUENO 43G,BARRYS,,,,0,0,19.00,
,,,,,,,,,,
80761761,85245,KINDER BUENO WHITE 39G,BARRYS,,,,0,0,20.00,
,,,,,,,,,,
7613035052024,69062,NESTLE AERO BUBBLY MILK 36G,BARRYS,,,,0,0,1.00,
,,,,,,,,,,
7613036080118,261159,NESTLE ROLO 4 PACK 166.4G,BARRYS,,,,0,0,3.00,
,,,,,,,,,,
50251179,69207,NESTLE ROLO 52G,BARRYS,,,,0,0,1.00,
,,,,,,,,,,
7613034959287,69222,NESTLE TOFFEE CRISP 38G,BARRYS,,,,0,0,2.00,
7613036080675,261158,NESTLE TOFFEE CRISP 4PK,BARRYS,,,,0,0,1.00,
,,124G SNKSZE,,,,,,,,
,,,,,,,,,,
7613034872630,,NESTLE YORKIE MILK 46G,BARRYS,,,,0,0,3.00,
,,,,,,,,,,
7613034872579,260069,NESTLE YORKIE MILK 46G 3PK,BARRYS,,,,0,0,6.00,
,,,,,,,,,,
5000159470629,69017,SNICKERS BAR 48G,BARRYS,,,,0,0,1.00,
42070047,136524,WRIGLEYS AIRWAVES,MANGANS,,,,0,0,42.00,
,,B/CURRANT 10PC,,,,,,,,
42101925,63044,WRIGLEYS AIRWAVES BLACK,BARRYS,,,,0,0,34.00,
,,MINT 14G,,,,,,,,
42211464,70224,WRIGLEYS EX ICE PEPPERMINT,BARRYS,,,,0,0,19.00,
,,15G,,,,,,,,
42211471,70223,WRIGLEYS EXTRA ICE WHITE,BARRYS,,,,0,0,33.00,
,,15G,,,,,,,,
40099361,70274,WRIGLEYS EXTRA PEPPERMINT,BARRYS,,,,0,0,48.00,
,,10 PC,,,,,,,,
Created using Rs-BackOffice v123.3.2 - www.RetailSolutions.ie,,,,,,,,,Page : 3 / ,21
TILL 01 JOHNS-20/12/2023 00:34:16,,,,,,,,,,
Barcode,Stock Code,Description,Supplier,,Location,,On Order,Reserved,On Hand,
50173686,70269,WRIGLEYS EXTRA SPEARMINT,BARRYS,,,,0,0,2.00,
,,10 PC,,,,,,,,
42112907,70276,WRIGLEYS EXTRA,BARRYS,,,,0,0,35.00,
,,STRAWBERRY 10PC,,,,,,,,
,,,,,,,0,0,475.00,
CA,,MINERALS,,,,,,,,
,,,,,,,,,,
4060800305619,1400040,7 UP 2L,BARRYS,,,,0,0,32.00,
,,,,,,,,,,
8717700002402,65286,7 UP FREE 2L,BARRYS,,,,0,0,8.00,
,,,,,,,,,,
4060800310521,1401392,7 UP ZERO 2L,BARRYS,,,,0,0,46.00,
,,,,,,,,,,
4199020100,65444,BALLYGOWAN SPARKLING 2L,BARRYS,,,,0,0,15.00,
,,,,,,,,,,
4199020001,65443,BALLYGOWAN STILL 2L,BARRYS,,,,0,0,16.00,
,,,,,,,,,,
