,Unnamed: 0,Unnamed: 1,CarryOut Express Groody,Full Description,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,,,,,,,,,,,,Start Dept: A
1,,,,,,,,,,,,End Dept: Z
75,5000328462622,56358,DORITOS CHILLI HEATWAVE,DORITOS CHILLI HEATWAVE 150G,BARRYS,,,,24,0,3,
76,,,150G,150G ,,,,,,,,
77,,,,,,,,,,,,
78,5000328175973,56353,DORITOS COOL ORIGINAL 150G,DORITOS COOL ORIGINAL 150G ,BARRYS,,,,0,0,21,
79,,,,,,,,,,,,
80,5000328681443,56359,DORITOS TANGY CHEESE 150G,,BARRYS,,,,0,0,3,
81,5011096005867,C950,O DONNELLS CHEESE & ONION,O DONNELLS CHEESE & ONION 50G,LARGO,,,,0,0,1,
82,,,50G,50G ,,,,,,,,
83,,,,,,,,,,,,
84,5053990161966,1400409,PRINGLES BBQ 165G,,BARRYS,,,,0,0,2,
85,5053990127641,1400410,PRINGLES CHEESE & ONION,PRINGLES CHEESE & ONION 165G,BARRYS,,,,0,0,7,
86,,,165G,,,,,,,,,
87,5053990138685,85206,PRINGLES CHEESE & ONION,PRINGLES CHEESE & ONION 200G,BARRYS,,,,0,0,2,
88,,,200G,200G ,,,,,,,,
89,,,,,,,,,,,,
90,5053990138722,85204,PRINGLES ORIGINAL 200G,,BARRYS,,,,0,0,1,
91,5053990158034,1400413,PRINGLES PRAWN COCKTAIL,PRINGLES PRAWN COCKTAIL 165G,BARRYS,,,,0,0,12,
92,,,165G,,,,,,,,,
93,5053990158065,85210,PRINGLES PRAWN COCKTAIL,PRINGLES PRAWN COCKTAIL 200G,BARRYS,,,,0,0,1,
94,,,200G,,,,,,,,,
95,5053990127733,1400414,PRINGLES SALT & VINEGAR,PRINGLES SALT & VINEGAR 165G,BARRYS,,,,0,0,20,
96,,,165G,,,,,,,,,
97,5053990138746,85207,PRINGLES SALT & VINEGAR,PRINGLES SALT & VINEGAR 200G,BARRYS,,,,0,0,1,
98,,,200G,,,,,,,,,
99,5053990127740,1400415,PRINGLES SOUR CREAM &,PRINGLES SOUR CREAM & ONION 165G,BARRYS,,,,0,0,57,
100,,,ONION 165G,,,,,,,,,
101,5053990138753,85205,PRINGLES SOUR CREAM &,PRINGLES SOUR CREAM & ONION 200G,BARRYS,,,,0,0,1,
102,,,ONION 200G,,,,,,,,,
103,5000328133034,85353,SMITHS BACON FRIES 1 CARD,SMITHS BACON FRIES 1 CARD 27G,BARRYS,,,,0,0,5,
104,,,27G,,,,,,,,,
105,5011096009810,85386,TAYTO HUNKY DORYS,TAYTO HUNKY DORYS SALT&VINEGAR 135G,LARGO,,,,0,0,1,
106,,,SALT&VINEGAR 135G,,,,,,,,,
107,5000328748993,85047,WALKERS CHEESE&ONION,WALKERS CHEESE&ONION SHARING 175G,BARRYS,,,,0,0,1,
108,,,SHARING 175G,,,,,,,,,
109,5000328202464,270035,WALKERS GIANT WOTSITS,WALKERS GIANT WOTSITS FLAMIN HT130G,BARRYS,,,,0,0,23,
